SeriesName,CountryName,CountryCode,ContinentName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Population total,Spain,ESP,Europe,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832
Population total,Sri Lanka,LKA,Asia,18777601,18911730,19062482,19224037,19387153,19544988,19695972,19842044,19983984,20123508,20261737,20398670,20425000,20585000,20778000,20970000
Population total,St. Kitts and Nevis,KNA,North America,44083,44602,45168,45749,46323,46852,47333,47769,48178,48599,49011,49442,49881,50328,50776,51204
Population total,St. Lucia,LCA,North America,156729,158179,159392,160530,161816,163417,165381,167639,170011,172221,174085,175544,176646,177513,178296,179126
Population total,St. Martin (French part),MAF,North America,28935,29853,30910,32053,33186,34248,35237,36137,36885,37377,37582,37446,37009,36453,36015,35858
Population total,St. Vincent and the Grenadines,VCT,North America,107784,107896,108097,108326,108512,108614,108603,108518,108393,108287,108255,108316,108435,108622,108861,109148
Population total,Sudan,SDN,Africa,27275015,27971082,28704778,29460519,30214193,30949516,31661823,32360621,33060837,33783788,34545013,35349681,36193783,37072550,37977655,38902950
Population total,Suriname,SUR,South America,470944,476574,482228,487938,493680,499461,505292,511181,517122,523113,529126,535177,541247,547295,553278,559136
Population total,Eswatini,SWZ,Africa,1005435,1013609,1019059,1022802,1026286,1030579,1036092,1042652,1049945,1057467,1064837,1072032,1079288,1086839,1095021,1104044
Population total,Sweden,SWE,Europe,8872109,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186
Population total,Switzerland,CHE,Europe,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396
Population total,Syrian Arab Republic,SYR,Asia,16410848,16766561,17084632,17415214,17827825,18361176,19059258,19878254,20664038,21205873,21362529,21082966,20442541,19584274,18715672,17997408
Population total,Tajikistan,TJK,Asia,6216341,6318513,6426867,6541547,6662389,6789321,6922587,7062672,7209930,7364753,7527394,7697510,7874835,8059769,8252833,8454028
Population total,Tanzania,TZA,Africa,33499180,34385856,35334788,36337782,37379767,38450320,39548663,40681414,41853944,43073834,44346525,45673338,47052481,48482266,49959822,51482633
Population total,Thailand,THA,Asia,62952642,63539196,64069087,64549866,64995299,65416189,65812536,66182067,66530984,66866839,67195028,67518382,67835957,68144501,68438730,68714511
Population total,Timor-Leste,TLS,Asia,884366,901214,922694,947108,971893,995135,1016432,1036392,1055431,1074277,1093523,1113151,1132994,1153295,1174331,1196302
Population total,Togo,TGO,Africa,4924402,5062567,5197031,5330639,5467766,5611640,5762880,5920359,6083420,6250835,6421679,6595943,6773807,6954721,7137997,7323158
Population total,Tonga,TON,Oceania,97973,98487,99022,99589,100218,100905,101706,102581,103379,103890,103986,103562,102737,101768,101028,100781
Population total,Trinidad and Tobago,TTO,North America,1267153,1271632,1277213,1283559,1290123,1296502,1302561,1308451,1314443,1320930,1328147,1336178,1344817,1353700,1362342,1370328
Population total,Tunisia,TUN,Africa,9708350,9793903,9871251,9945277,10022277,10106771,10201214,10304726,10414433,10525694,10635244,10741880,10847002,10952951,11063201,11179949
Population total,Turkey,TUR,Asia,63240194,64192243,65145367,66089402,67010930,67903469,68756810,69581848,70418604,71321399,72326988,73443863,74653016,75928564,77231907,78529409
Population total,Turkmenistan,TKM,Asia,4516133,4564083,4610005,4655743,4703401,4754646,4810109,4870141,4935767,5007954,5087213,5174085,5267900,5366375,5466328,5565287
Population total,Turks and Caicos Islands,TCA,North America,20164,21573,23232,25011,26700,28180,29391,30385,31202,31934,32660,33377,34066,34731,35369,35981
Population total,Tuvalu,TUV,Oceania,9394,9484,9596,9726,9869,10000,10120,10221,10314,10424,10530,10633,10739,10857,10972,11099
Population total,Uganda,UGA,Africa,23650172,24388968,25167257,25980552,26821297,27684585,28571475,29486338,30431736,31411096,32428167,33476919,34559168,35695246,36912148,38225453
Population total,Ukraine,UKR,Europe,49176500,48662400,48202470,47812949,47451626,47105171,46787786,46509355,46258189,46053331,45870741,45706086,45593342,45489648,45272156,45154036
Population total,United Arab Emirates,ARE,Asia,3134062,3302719,3478777,3711932,4068570,4588225,5300174,6168838,7089487,7917372,8549988,8946777,9141596,9197910,9214175,9262900
Population total,United Kingdom,GBR,Europe,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63700215,64128273,64602298,65116219
Population total,United States,USA,North America,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309321666,311556874,313830990,315993715,318301008,320635163
Population total,Uruguay,URY,South America,3319736,3325473,3326040,3323668,3321476,3321803,3325401,3331749,3340221,3349676,3359275,3368934,3378974,3389439,3400434,3412009
Population total,Uzbekistan,UZB,Asia,24650400,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900
Population total,Vanuatu,VUT,Oceania,184972,189219,193920,198959,204127,209282,214370,219472,224704,230247,236211,242653,249499,256635,263888,271130
Population total,"Venezuela, RB",VEN,South America,24192446,24646472,25100408,25551624,25996594,26432447,26850194,27247610,27635832,28031009,28439940,28888369,29362449,29783571,30045134,30081829
Population total,Vietnam,VNM,Asia,79910412,80742499,81534407,82301656,83062821,83832661,84617540,85419591,86243413,87092252,87967651,88871561,89802487,90753472,91714595,92677076
Population total,Virgin Islands (U.S.),VIR,North America,108642,108549,108510,108506,108467,108454,108371,108339,108399,108405,108358,108292,108191,108044,107884,107710
Population total,West Bank and Gaza,PSE,Asia,2922153,2997784,3075373,3154969,3236626,3320396,3406334,3494496,3591977,3689099,3786161,3882986,3979998,4076708,4173398,4270092
Population total,"Yemen, Rep.",YEM,Asia,17409072,17918373,18443691,18985000,19540098,20107409,20687646,21282515,21892146,22516460,23154855,23807588,24473178,25147109,25823485,26497889
Population total,Zambia,ZMB,Africa,10415944,10692193,10971698,11256743,11550642,11856247,12173514,12502958,12848530,13215139,13605984,14023193,14465121,14926504,15399753,15879361
Population total,Zimbabwe,ZWE,Africa,11881477,11923914,11954290,11982224,12019912,12076699,12155491,12255922,12379549,12526968,12697723,12894316,13115131,13350356,13586681,13814629
Population growth (annual %),Afghanistan,AFG,Asia,2.975052846,3.902805701,4.496719561,4.668361494,4.321539296,3.682731797,2.990478094,2.493842299,2.268277145,2.397020991,2.74657628,3.143125903,3.407586974,3.494589049,3.355581661,3.077083595
Population growth (annual %),Albania,ALB,Europe,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787
Population growth (annual %),Algeria,DZA,Africa,1.358407806,1.30984253,1.275065543,1.275914635,1.317846191,1.389900523,1.471122982,1.551382583,1.636192663,1.722093224,1.805018696,1.883313834,1.951415209,2.002727839,2.033592452,2.045387243
Population growth (annual %),American Samoa,ASM,Oceania,1.337137112,1.157215338,0.996827279,0.715107952,0.29701746,-0.199592495,-0.766842612,-1.263296561,-1.507058742,-1.417146554,-1.071293125,-0.572257861,-0.165132053,0.082600112,0.139905318,0.037633397
Population growth (annual %),Andorra,AND,Europe,1.572165551,2.939992206,3.942573353,4.375449193,4.098923478,3.382416554,2.659984178,2.066338175,1.414647779,0.714097792,-0.016576679,-0.834745269,-1.588729602,-2.025792158,-1.95147048,-1.529058438
Population growth (annual %),Angola,AGO,Africa,3.277203555,3.301198182,3.329256674,3.37881111,3.453013829,3.537557154,3.619574559,3.68063537,3.710531322,3.703877683,3.671462401,3.634158626,3.597774308,3.551950467,3.497492744,3.438850684
Population growth (annual %),Antigua and Barbuda,ATG,North America,1.781187179,1.561104092,1.392885863,1.275438464,1.297971065,1.395564086,1.50944883,1.585830631,1.618469661,1.567333688,1.467063743,1.382008785,1.286878642,1.217000042,1.136486988,1.078837937
Population growth (annual %),Argentina,ARG,South America,1.100583725,1.092079483,1.083551371,1.07199404,1.055389384,1.036281168,1.01544167,0.998858904,0.99259313,0.999544734,0.752213052,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344
Population growth (annual %),Armenia,ARM,Asia,-0.631020799,-0.617751681,-0.549218141,-0.530280113,-0.571956874,-0.650321107,-0.773190355,-0.872160581,-0.856135016,-0.67381128,-0.373711867,-0.027147008,0.267013214,0.461966644,0.51012273,0.450500903
Population growth (annual %),Aruba,ABW,North America,2.055026783,2.22593013,2.229056047,2.109354335,1.757352867,1.30203884,0.79954624,0.384052418,0.134267964,0.095654625,0.210708808,0.370125352,0.502430116,0.582349411,0.594397037,0.544892394
Population growth (annual %),Australia,AUS,Oceania,1.192272323,1.348358342,1.220563785,1.233996663,1.159352162,1.319789554,1.475227945,0.624678435,2.00402174,2.06104513,1.555489589,1.389527316,1.745820001,1.72115144,1.491566489,1.439216653
Population growth (annual %),Austria,AUT,Europe,0.240466652,0.382799394,0.491980464,0.487133895,0.620413127,0.681267248,0.494797775,0.324146535,0.313041438,0.26195319,0.2403943,0.337080842,0.455937472,0.589387255,0.781541633,1.120992502
Population growth (annual %),Azerbaijan,AZE,Asia,0.821519964,0.774765939,0.746173583,0.757650956,0.87542728,1.022265592,1.098586574,1.133855466,2.099854033,2.076148264,1.189787708,1.303000855,1.328763827,1.293447027,1.248208997,1.191209858
Population growth (annual %),"Bahamas, The",BHS,North America,1.347398334,1.520667125,1.652399307,1.761996908,1.824351295,1.853248287,1.882682626,1.901849904,1.847733423,1.70871838,1.515331048,1.297394475,1.108201634,0.980915204,0.93928457,0.959409324
Population growth (annual %),Bahrain,BHR,Asia,4.31530764,4.836512065,5.25020912,5.756701712,6.360159526,6.904396412,7.500231305,7.776022595,7.324342452,6.127452758,4.599778006,2.960981473,1.690591501,1.153830127,1.587749264,2.642471156
Population growth (annual %),Bangladesh,BGD,Asia,1.95238739,1.886287145,1.820070221,1.731266118,1.615198017,1.484744774,1.347130256,1.226617775,1.145653022,1.116805726,1.124803493,1.144262127,1.15494813,1.156713453,1.142594657,1.117283565
Population growth (annual %),Barbados,BRB,North America,0.392645061,0.362122764,0.338874712,0.330075479,0.347517603,0.376717927,0.416757555,0.439788762,0.446079294,0.41279802,0.364679446,0.302945811,0.251638162,0.20986071,0.185900767,0.175042007
Population growth (annual %),Belarus,BLR,Europe,-0.471131335,-0.512966688,-0.636565666,-0.699809191,-0.682169472,-0.68300556,-0.612296198,-0.458847536,-0.345415054,-0.22296073,-0.170360662,-0.183624023,-0.091637482,0.015868579,0.089902558,0.159300802
Population growth (annual %),Belgium,BEL,Europe,0.242517956,0.343951158,0.448268895,0.418641508,0.432788248,0.550055708,0.659558215,0.734330831,0.789976845,0.804599573,0.913639392,1.301002902,0.620163579,0.471340144,0.443929288,0.579446242
Population growth (annual %),Belize,BLZ,North America,3.42494863,3.084774571,2.827563862,2.650384639,2.593522892,2.604447732,2.618344801,2.60739692,2.574385215,2.520576643,2.451470158,2.381907641,2.323531697,2.256884073,2.188961079,2.118799855
Population growth (annual %),Benin,BEN,Africa,2.983994776,3.023780214,3.043082958,3.039674832,3.005342106,2.952383516,2.897544923,2.854085561,2.823555548,2.809301752,2.806086484,2.803717973,2.797648941,2.790718131,2.782181506,2.771714168
Population growth (annual %),Bermuda,BMU,North America,0.894182916,1.085181052,0.652758223,0.656472533,0.655349388,0.649513649,0.575178477,0.565689754,0.593330046,0.55612581,-0.780059723,-0.859898041,0.362431076,0.313281274,0.210765988,0.151985016
Population growth (annual %),Bhutan,BTN,Asia,2.248358465,2.112644398,2.029819014,1.900758029,1.733113342,1.541558106,1.32773939,1.129268455,1.008172467,0.99412939,1.052929968,1.130704583,1.187928924,1.22609147,1.233911551,1.219146338
Population growth (annual %),Bolivia,BOL,South America,1.93343126,1.905767118,1.877080341,1.847322665,1.816097236,1.784254998,1.7516249,1.719932541,1.691076655,1.666110583,1.643602456,1.622458837,1.600004605,1.574598408,1.544967683,1.512924033
Population growth (annual %),Bosnia and Herzegovina,BIH,Europe,0.208738983,0.115523663,0.103128474,0.07408038,0.053704531,0.030201109,0.002469872,-0.070083064,-0.226551525,-0.489520028,-0.818827889,-1.20265119,-1.547013043,-1.745167149,-1.722562344,-1.526276235
Population growth (annual %),Botswana,BWA,Africa,2.032896436,1.889380292,1.773421002,1.730526111,1.778885026,1.882508206,2.026487056,2.131424745,2.119781897,1.957036327,1.705719395,1.413987357,1.191100637,1.120660803,1.256439448,1.525307942
Population growth (annual %),Brazil,BRA,South America,1.424167434,1.366957076,1.312744186,1.257382738,1.201294128,1.145880998,1.090196854,1.037862037,0.994311624,0.961948263,0.937956738,0.915962656,0.893531058,0.873603191,0.855792023,0.838848283
Population growth (annual %),British Virgin Islands,VGB,North America,1.413118192,1.77626297,2.172126352,2.537460035,3.008907624,3.40254209,3.887610285,4.174235511,4.106630531,3.545990305,2.753990182,1.87127874,1.162048569,0.685255825,0.491044627,0.560707339
Population growth (annual %),Brunei Darussalam,BRN,Asia,2.1096517,2.040774985,1.965072783,1.860140053,1.723004885,1.568184375,1.400393036,1.261912434,1.181371824,1.175132443,1.227117263,1.288981384,1.337513016,1.352256699,1.313717171,1.246081245
Population growth (annual %),Bulgaria,BGR,Europe,-0.493896417,-1.990632204,-2.17069878,-0.792113638,-0.754796951,-0.752977445,-0.759505916,-0.735282284,-0.701922745,-0.644281363,-0.658275447,-0.641228921,-0.579220596,-0.559647217,-0.568389264,-0.638069468
Population growth (annual %),Burkina Faso,BFA,Africa,2.841885125,2.858868603,2.875992432,2.898431555,2.927561373,2.959187776,2.989062688,3.011815794,3.024954857,3.02644987,3.019251293,3.008981855,2.997392478,2.981606475,2.961900814,2.939462977
Population growth (annual %),Burundi,BDI,Africa,1.767356522,2.273335218,2.699674402,3.012598038,3.170145462,3.217165882,3.246016505,3.288776865,3.301310362,3.287269847,3.256066998,3.207759114,3.159741833,3.13340508,3.136852423,3.156909217
Population growth (annual %),Cabo Verde,CPV,Africa,1.82320284,1.741223785,1.648456512,1.563286066,1.475295001,1.395120105,1.316900995,1.247593573,1.209762197,1.204959629,1.221877199,1.251037486,1.270619062,1.280864881,1.266209611,1.241420644
Population growth (annual %),Cambodia,KHM,Asia,2.236050134,2.03722363,1.855404003,1.713676066,1.62260232,1.570923651,1.527856858,1.489499886,1.479300731,1.499593573,1.539208139,1.588817643,1.630429697,1.64984965,1.638083897,1.603706854
Population growth (annual %),Cameroon,CMR,Africa,2.621099328,2.639640035,2.655704619,2.673762976,2.692203013,2.709802767,2.727108707,2.742005436,2.750797225,2.752312198,2.747773491,2.740435666,2.731263968,2.718244285,2.701555717,2.68179173
